lon,lat,SA code
-6.773464321757241,54.31550230156144,N00000416
-6.421595530426516,54.35971313033918,N00000417
-6.454305216183305,54.35655589694105,N00000418
-6.476613746977264,54.37033906815784,N00000419
-6.4338164590478835,54.3715249570056,N00000420
-6.447645882395609,54.37052988972238,N00000421
-6.418148926108142,54.35775050030254,N00000422
-6.595558056079879,54.43645951168473,N00000423
-6.569691541517175,54.413698204188634,N00000424
-6.531279542780616,54.417537865639495,N00000425
-6.598519614616783,54.41233205038788,N00000426
-6.566074659972311,54.45567443696692,N00000427
-6.590866681116614,54.4552270059206,N00000428
-6.5564410138631475,54.43491977531907,N00000429
-6.513969358726921,54.26716624231324,N00000430
-6.507535424379542,54.24030075388219,N00000431
-6.5153371716470545,54.30612943876054,N00000432
-6.519381704304738,54.299906447175594,N00000433
-6.530765409060024,54.29728048911452,N00000434
-6.51714646051813,54.29424428679198,N00000435
-6.502138480116839,54.29190157254239,N00000436
-6.664988766349495,54.316220820029365,N00000437
-6.696430885377083,54.30106499592565,N00000438
-6.726047509204853,54.325584832884424,N00000439
-6.733007295119489,54.28976988557493,N00000440
-6.691194227579855,54.3411139721923,N00000441
-6.682584995023855,54.33228419319056,N00000442
-6.631438096082362,54.36566534417202,N00000443
-6.649462605063912,54.35750091634777,N00000444
-6.625721543978376,54.35510173009403,N00000445
-6.632947674318964,54.3547047180081,N00000446
-6.640574421186095,54.35759924517204,N00000447
-6.65577020488681,54.35475817796678,N00000448
-6.443443799684713,54.30455917715695,N00000449
-6.383702098892587,54.308691050402196,N00000450
-6.373552986060865,54.27922750032043,N00000451
-6.432227232628299,54.278839207573746,N00000452
-6.479115747105435,54.26188383507877,N00000453
-6.406548948621278,54.33265739562276,N00000454
-6.541000889447805,54.371996176213536,N00000455
-6.553266118273171,54.36975978716454,N00000459
-6.550210698114872,54.37302304330711,N00000460
-6.550277558756708,54.363246302790564,N00000456
-6.541805500358423,54.367546542785405,N00000457
-6.53751040579949,54.38059896080255,N00000458
-6.551181417298464,54.37785419615467,N00000461
-6.556302005717492,54.37379385445793,N00000462
-6.403844369556898,54.34667855929245,N00000463
-6.403409515485712,54.35650042258148,N00000464
-6.405076621102105,54.351206444036734,N00000465
-6.4028158094909715,54.37281468559642,N00000466
-6.415789433589816,54.359623084508314,N00000467
